Time,Channel A,Channel B
(s),(V),(V)

-9.07960057,0.00045778,0.00000000
-9.07940057,0.00045778,0.00000000
-9.07920057,0.00045778,0.00000000
-9.07900057,0.00045778,0.00000000
-9.07880057,0.00045778,0.00000000
-9.07860057,0.00045778,0.00000000
-9.07840057,0.00045778,0.00000000
-9.07820057,0.00045778,0.00000000
-9.07800057,0.00045778,0.00000000
-9.07780057,0.00045778,0.00000000
-9.07760057,0.00045778,0.00000000
-9.07740057,0.00045778,0.00000000
-9.07720057,0.00045778,0.00000000
-9.07700057,0.00045778,0.00000000
-9.07680057,0.00045778,0.00000000
-9.07660057,0.00045778,0.00000000
-9.07640057,0.00045778,0.00000000
-9.07620057,0.00045778,0.00000000
-9.07600057,0.00045778,0.00000000
-9.07580057,0.00045778,0.00000000
-9.07560057,0.00045778,0.00000000
-9.07540057,0.00045778,0.00000000
-9.07520057,0.00045778,0.00000000
-9.07500057,0.00045778,0.00000000
-9.07480057,0.00045778,0.00000000
-9.07460057,0.00045778,0.00000000
-9.07440057,0.00045778,0.00000000
-9.07420057,0.00045778,0.00000000
-9.07400057,0.00045778,0.00000000
-9.07380057,0.00045778,0.00000000
-9.07360057,0.00045778,0.00000000
-9.07340057,0.00045778,0.00000000
-9.07320057,0.00045778,0.00000000
-9.07300057,0.00045778,0.00000000
-9.07280057,0.00045778,0.00000000
-9.07260057,0.00045778,0.00000000
-9.07240057,0.00045778,0.00000000
-9.07220057,0.00045778,0.00000000
-9.07200057,0.00045778,0.00000000
-9.07180057,0.00045778,0.00000000
-9.07160057,0.00045778,0.00000000
-9.07140057,0.00045778,0.00000000
-9.07120057,0.00045778,0.00000000
-9.07100057,0.00045778,0.00000000
-9.07080057,0.00045778,0.00000000
-9.07060057,0.00045778,0.00000000
-9.07040057,0.00045778,0.00000000
-9.07020057,0.00045778,0.00000000
-9.07000057,0.00045778,0.00000000
-9.06980057,0.00045778,0.00000000
-9.06960057,0.00045778,0.00000000
-9.06940057,0.00045778,0.00000000
-9.06920057,0.00045778,0.00000000
-9.06900057,0.00045778,0.00000000
-9.06880057,0.00045778,0.00000000
-9.06860057,0.00045778,0.00000000
-9.06840057,0.00045778,0.00000000
-9.06820057,0.00045778,0.00000000
-9.06800057,0.00045778,0.00000000
-9.06780057,0.00045778,0.00000000
-9.06760057,0.00045778,0.00000000
-9.06740057,0.00045778,0.00000000
-9.06720057,0.00045778,0.00000000
-9.06700057,0.00045778,0.00000000
-9.06680057,0.00045778,0.00000000
-9.06660057,0.00045778,0.00000000
-9.06640057,0.00045778,0.00000000
-9.06620057,0.00045778,0.00000000
-9.06600057,0.00045778,0.00000000
-9.06580057,0.00045778,0.00000000
-9.06560057,0.00045778,0.00000000
-9.06540057,0.00045778,0.00000000
-9.06520057,0.00045778,0.00000000
-9.06500057,0.00045778,0.00000000
-9.06480057,0.00045778,0.00000000
-9.06460057,0.00045778,0.00000000
-9.06440057,0.00045778,0.00000000
-9.06420057,0.00045778,0.00000000
-9.06400057,0.00045778,0.00000000
-9.06380057,0.00045778,0.00000000
-9.06360057,0.00045778,0.00000000
-9.06340057,0.00045778,0.00000000
-9.06320057,0.00045778,0.00000000
-9.06300057,0.00045778,0.00000000
-9.06280057,0.00045778,0.00000000
-9.06260057,0.00045778,0.00000000
-9.06240057,0.00045778,0.00000000
-9.06220057,0.00045778,0.00000000
-9.06200057,0.00045778,0.00000000
-9.06180057,0.00045778,0.00000000
-9.06160057,0.00045778,0.00000000
-9.06140057,0.00045778,0.00000000
-9.06120057,0.00045778,0.00000000
-9.06100057,0.00045778,0.00000000
-9.06080057,0.00045778,0.00000000
-9.06060057,0.00045778,0.00000000
-9.06040057,0.00045778,0.00000000
-9.06020057,0.00045778,0.00000000
-9.06000057,0.00045778,0.00000000
-9.05980057,0.00045778,0.00000000
-9.05960057,0.00045778,0.00000000
-9.05940057,0.00045778,0.00000000
-9.05920057,0.00045778,0.00000000
-9.05900057,0.00045778,0.00000000
-9.05880057,0.00045778,0.00000000
-9.05860057,0.00045778,0.00000000
-9.05840057,0.00045778,0.00000000
-9.05820057,0.00045778,0.00000000
-9.05800057,0.00045778,0.00000000
-9.05780057,0.00045778,0.00000000
-9.05760057,0.00045778,0.00000000
-9.05740057,0.00045778,0.00000000
-9.05720057,0.00045778,0.00000000
-9.05700057,0.00045778,0.00000000
-9.05680057,0.00045778,0.00000000
-9.05660057,0.00045778,0.00000000
-9.05640057,0.00045778,0.00000000
-9.05620057,0.00045778,0.00000000
-9.05600057,0.00045778,0.00000000
-9.05580057,0.00045778,0.00000000
-9.05560057,0.00045778,0.00000000
-9.05540057,0.00045778,0.00000000
-9.05520057,0.00045778,0.00000000
-9.05500057,0.00045778,0.00000000
-9.05480057,0.00045778,0.00000000
-9.05460057,0.00045778,0.00000000
-9.05440057,0.00045778,0.00000000
-9.05420057,0.00045778,0.00000000
-9.05400057,0.00045778,0.00000000
-9.05380057,0.00045778,0.00000000
-9.05360057,0.00045778,0.00000000
-9.05340057,0.00045778,0.00000000
-9.05320057,0.00045778,0.00000000
-9.05300057,0.00045778,0.00000000
-9.05280057,0.00045778,0.00000000
-9.05260057,0.00045778,0.00000000
-9.05240057,0.00045778,0.00000000
-9.05220057,0.00045778,0.00000000
-9.05200057,0.00045778,0.00000000
-9.05180057,0.00045778,0.00000000
-9.05160057,0.00045778,0.00000000
-9.05140057,0.00045778,0.00000000
-9.05120057,0.00045778,0.00000000
-9.05100057,0.00045778,0.00000000
-9.05080057,0.00045778,0.00000000
-9.05060057,0.00045778,0.00000000
-9.05040057,0.00045778,0.00000000
-9.05020057,0.00045778,0.00000000
-9.05000057,0.00045778,0.00000000
-9.04980057,0.00045778,0.00000000
-9.04960057,0.00045778,0.00000000
-9.04940057,0.00045778,0.00000000
-9.04920057,0.00045778,0.00000000
-9.04900057,0.00045778,0.00000000
-9.04880057,0.00045778,0.00000000
-9.04860057,0.00045778,0.00000000
-9.04840057,0.00045778,0.00000000
-9.04820057,0.00045778,0.00000000
-9.04800057,0.00045778,0.00000000
-9.04780057,0.00045778,0.00000000
-9.04760057,0.00045778,0.00000000
-9.04740057,0.00045778,0.00000000
-9.04720057,0.00045778,0.00000000
-9.04700057,0.00045778,0.00000000
-9.04680057,0.00045778,0.00000000
-9.04660057,0.00045778,0.00000000
-9.04640057,0.00045778,0.00000000
-9.04620057,0.00045778,0.00000000
-9.04600057,0.00045778,0.00000000
-9.04580057,0.00045778,0.00000000
-9.04560057,0.00045778,0.00000000
-9.04540057,0.00045778,0.00000000
-9.04520057,0.00045778,0.00000000
-9.04500057,0.00045778,0.00000000
-9.04480057,0.00045778,0.00000000
-9.04460057,0.00045778,0.00000000
-9.04440057,0.00045778,0.00000000
-9.04420057,0.00045778,0.00000000
-9.04400057,0.00045778,0.00000000
-9.04380057,0.00045778,0.00000000
-9.04360057,0.00045778,0.00000000
-9.04340057,0.00045778,0.00000000
-9.04320057,0.00045778,0.00000000
-9.04300057,0.00045778,0.00000000
-9.04280057,0.00045778,0.00000000
-9.04260057,0.00045778,0.00000000
-9.04240057,0.00045778,0.00000000
-9.04220057,0.00045778,0.00000000
-9.04200057,0.00045778,0.00000000
-9.04180057,0.00045778,0.00000000
-9.04160057,0.00045778,0.00000000
-9.04140057,0.00045778,0.00000000
-9.04120057,0.00045778,0.00000000
-9.04100057,0.00045778,0.00000000
-9.04080057,0.00045778,0.00000000
-9.04060057,0.00045778,0.00000000
-9.04040057,0.00045778,0.00000000
-9.04020057,0.00045778,0.00000000
-9.04000057,0.00045778,0.00000000
-9.03980057,0.00045778,0.00000000
-9.03960057,0.00045778,0.00000000
-9.03940057,0.00045778,0.00000000
-9.03920057,0.00045778,0.00000000
-9.03900057,0.00045778,0.00000000
-9.03880057,0.00045778,0.00000000
-9.03860057,0.00045778,0.00000000
-9.03840057,0.00045778,0.00000000
-9.03820057,0.00045778,0.00000000
-9.03800057,0.00045778,0.00000000
-9.03780057,0.00045778,0.00000000
-9.03760057,0.00045778,0.00000000
-9.03740057,0.00045778,0.00000000
-9.03720057,0.00045778,0.00000000
-9.03700057,0.00045778,0.00000000
-9.03680057,0.00045778,0.00000000
-9.03660057,0.00045778,0.00000000
-9.03640057,0.00045778,0.00000000
-9.03620057,0.00045778,0.00000000
-9.03600057,0.00045778,0.00000000
-9.03580057,0.00045778,0.00000000
-9.03560057,0.00045778,0.00000000
-9.03540057,0.00045778,0.00000000
-9.03520057,0.00045778,0.00000000
-9.03500057,0.00045778,0.00000000
-9.03480057,0.00045778,0.00000000
-9.03460057,0.00045778,0.00000000
-9.03440057,0.00045778,0.00000000
-9.03420057,-0.04379406,0.00000000
-9.03400057,0.00045778,0.00000000
-9.03380057,0.00045778,0.00000000
-9.03360057,0.00045778,0.00000000
-9.03340057,0.00045778,0.00000000
-9.03320057,0.00045778,0.00000000
-9.03300057,0.00045778,0.00000000
-9.03280057,0.00045778,0.00000000
-9.03260057,0.00045778,0.00000000
-9.03240057,0.00045778,0.00000000
-9.03220057,0.00045778,0.00000000
-9.03200057,0.00045778,0.00000000
-9.03180057,0.00045778,0.00000000
-9.03160057,0.00045778,0.00000000
-9.03140057,0.00045778,0.00000000
-9.03120057,0.00045778,0.00000000
-9.03100057,0.00045778,0.00000000
-9.03080057,0.00045778,0.00000000
-9.03060057,0.00045778,0.00000000
-9.03040057,0.00045778,0.00000000
-9.03020057,0.00045778,0.00000000
-9.03000057,0.00045778,0.00000000
-9.02980057,0.00045778,0.00000000
-9.02960057,0.00045778,0.00000000
-9.02940057,0.00045778,0.00000000
-9.02920057,0.00045778,0.00000000
-9.02900057,0.00045778,0.00000000
-9.02880057,0.00045778,0.00000000
-9.02860057,0.00045778,0.00000000
-9.02840057,0.00045778,0.00000000
-9.02820057,0.00045778,0.00000000
-9.02800057,0.00045778,0.00000000
-9.02780057,0.00045778,0.00000000
-9.02760057,0.00045778,0.00000000
-9.02740057,0.00045778,0.00000000
-9.02720057,0.00045778,0.00000000
-9.02700057,0.00045778,0.00000000
-9.02680057,0.00045778,0.00000000
-9.02660057,0.00045778,0.00000000
-9.02640057,0.00045778,0.00000000
-9.02620057,0.00045778,0.00000000
-9.02600057,0.00045778,0.00000000
-9.02580057,0.00045778,0.00000000
-9.02560057,0.00045778,0.00000000
-9.02540057,0.00045778,0.00000000
-9.02520057,0.00045778,0.00000000
-9.02500057,0.00045778,0.00000000
-9.02480057,0.00045778,0.00000000
-9.02460057,0.00045778,0.00000000
-9.02440057,0.00045778,0.00000000
-9.02420057,0.00045778,0.00000000
-9.02400057,0.00045778,0.00000000
-9.02380057,0.00045778,0.00000000
-9.02360057,0.00045778,0.00000000
-9.02340057,0.00045778,0.00000000
-9.02320057,0.00045778,0.00000000
-9.02300057,0.00045778,0.00000000
-9.02280057,0.00045778,0.00000000
-9.02260057,0.00045778,0.00000000
-9.02240057,0.00045778,0.00000000
-9.02220057,0.00045778,0.00000000
-9.02200057,0.00045778,0.00000000
-9.02180057,0.00045778,0.00000000
-9.02160057,0.00045778,0.00000000
-9.02140057,0.00045778,0.00000000
-9.02120057,0.00045778,0.00000000
-9.02100057,0.00045778,0.00000000
-9.02080057,0.00045778,0.00000000
-9.02060057,0.00045778,0.00000000
-9.02040057,0.00045778,0.00000000
-9.02020057,0.00045778,0.00000000
-9.02000057,0.00045778,0.00000000
-9.01980057,0.00045778,0.00000000
-9.01960057,0.00045778,0.00000000
-9.01940057,0.00045778,0.00000000
-9.01920057,0.00045778,0.00000000
-9.01900057,0.00045778,0.00000000
-9.01880057,0.00045778,0.00000000
-9.01860057,0.00045778,0.00000000
-9.01840057,0.00045778,0.00000000
-9.01820057,0.00045778,0.00000000
-9.01800057,0.00045778,0.00000000
-9.01780057,0.00045778,0.00000000
-9.01760057,0.00045778,0.00000000
-9.01740057,0.00045778,0.00000000
-9.01720057,0.00045778,0.00000000
-9.01700057,0.00045778,0.00000000
-9.01680057,0.00045778,0.00000000
-9.01660057,0.00045778,0.00000000
-9.01640057,0.00045778,0.00000000
-9.01620057,0.00045778,0.00000000
-9.01600057,0.00045778,0.00000000
-9.01580057,0.00045778,0.00000000
-9.01560057,0.00045778,0.00000000
-9.01540057,0.00045778,0.00000000
-9.01520057,0.00045778,0.00000000
-9.01500057,0.00045778,0.00000000
-9.01480057,0.00045778,0.00000000
-9.01460057,0.00045778,0.00000000
-9.01440057,0.00045778,0.00000000
-9.01420057,0.00045778,0.00000000
-9.01400057,0.00045778,0.00000000
-9.01380057,0.00045778,0.00000000
-9.01360057,0.00045778,0.00000000
-9.01340057,0.00045778,0.00000000
-9.01320057,0.00045778,0.00000000
-9.01300057,0.00045778,0.00000000
-9.01280057,0.00045778,0.00000000
-9.01260057,0.00045778,0.00000000
-9.01240057,0.00045778,0.00000000
-9.01220057,0.00045778,0.00000000
-9.01200057,0.00045778,0.00000000
-9.01180057,0.00045778,0.00000000
-9.01160057,0.00045778,0.00000000
-9.01140057,0.00045778,0.00000000
-9.01120057,0.00045778,0.00000000
-9.01100057,0.00045778,0.00000000
-9.01080057,0.00045778,0.00000000
-9.01060057,0.00045778,0.00000000
-9.01040057,0.00045778,0.00000000
-9.01020057,0.00045778,0.00000000
-9.01000057,0.00045778,0.00000000
-9.00980057,0.00045778,0.00000000
-9.00960057,0.00045778,0.00000000
-9.00940057,0.00045778,0.00000000
-9.00920057,0.00045778,0.00000000
-9.00900057,0.00045778,0.00000000
-9.00880057,0.00045778,0.00000000
-9.00860057,0.00045778,0.00000000
-9.00840057,0.00045778,0.00000000
-9.00820057,0.00045778,0.00000000
-9.00800057,0.00045778,0.00000000
-9.00780057,0.00045778,0.00000000
-9.00760057,0.00045778,0.00000000
-9.00740057,0.00045778,0.00000000
-9.00720057,0.00045778,0.00000000
-9.00700057,0.00045778,0.00000000
-9.00680057,0.00045778,0.00000000
-9.00660057,0.00045778,0.00000000
-9.00640057,-0.04379406,0.00000000
-9.00620057,0.00045778,0.00000000
-9.00600057,0.00045778,0.00000000
-9.00580057,0.00045778,0.00000000
-9.00560057,0.00045778,0.00000000
-9.00540057,0.00045778,0.00000000
-9.00520057,0.00045778,0.00000000
-9.00500057,0.00045778,0.00000000
-9.00480057,0.00045778,0.00000000
-9.00460057,0.00045778,0.00000000
-9.00440057,0.00045778,0.00000000
-9.00420057,0.00045778,0.00000000
-9.00400057,0.00045778,0.00000000
-9.00380057,0.00045778,0.00000000
-9.00360057,0.00045778,0.00000000
-9.00340057,0.00045778,0.00000000
-9.00320057,0.00045778,0.00000000
-9.00300057,0.00045778,0.00000000
-9.00280057,0.00045778,0.00000000
-9.00260057,0.00045778,0.00000000
-9.00240057,0.00045778,0.00000000
-9.00220057,0.00045778,0.00000000
-9.00200057,0.00045778,0.00000000
-9.00180057,0.00045778,0.00000000
-9.00160057,0.00045778,0.00000000
-9.00140057,0.00045778,0.00000000
-9.00120057,0.00045778,0.00000000
-9.00100057,0.00045778,0.00000000
-9.00080057,0.00045778,0.00000000
-9.00060057,0.00045778,0.00000000
-9.00040057,0.00045778,0.00000000
-9.00020057,0.00045778,0.00000000
-9.00000057,0.00045778,0.00000000
-8.99980057,0.00045778,0.00000000
-8.99960057,0.00045778,0.00000000
-8.99940057,0.00045778,0.00000000
-8.99920057,0.00045778,0.00000000
-8.99900057,0.00045778,0.00000000
-8.99880057,0.00045778,0.00000000
-8.99860057,0.00045778,0.00000000
-8.99840057,0.00045778,0.00000000
-8.99820057,0.00045778,0.00000000
-8.99800057,0.00045778,0.00000000
-8.99780057,0.00045778,0.00000000
-8.99760057,0.00045778,0.00000000
-8.99740057,0.00045778,0.00000000
-8.99720057,0.00045778,0.00000000
-8.99700057,0.00045778,0.00000000
-8.99680057,0.00045778,0.00000000
-8.99660057,0.00045778,0.00000000
-8.99640057,0.00045778,0.00000000
-8.99620057,0.00045778,0.00000000
-8.99600057,0.00045778,0.00000000
-8.99580057,0.00045778,0.00000000
-8.99560057,0.00045778,0.00000000
-8.99540057,0.00045778,0.00000000
-8.99520057,0.00045778,0.00000000
-8.99500057,0.00045778,0.00000000
-8.99480057,0.00045778,0.00000000
-8.99460057,0.00045778,0.00000000
-8.99440057,0.00045778,0.00000000
-8.99420057,0.00045778,0.00000000
-8.99400057,0.00045778,0.00000000
-8.99380057,0.00045778,0.00000000
-8.99360057,0.00045778,0.00000000
-8.99340057,0.00045778,0.00000000
-8.99320057,0.00045778,0.00000000
-8.99300057,0.00045778,0.00000000
-8.99280057,0.00045778,0.00000000
-8.99260057,0.00045778,0.00000000
-8.99240057,0.00045778,0.00000000
-8.99220057,0.00045778,0.00000000
-8.99200057,0.00045778,0.00000000
-8.99180057,0.00045778,0.00000000
-8.99160057,0.00045778,0.00000000
-8.99140057,0.00045778,0.00000000
-8.99120057,0.00045778,0.00000000
-8.99100057,0.00045778,0.00000000
-8.99080057,0.00045778,0.00000000
-8.99060057,0.00045778,0.00000000
-8.99040057,0.00045778,0.00000000
-8.99020057,0.00045778,0.00000000
-8.99000057,0.00045778,0.00000000
-8.98980057,0.00045778,0.00000000
-8.98960057,0.00045778,0.00000000
-8.98940057,0.00045778,0.00000000
-8.98920057,0.00045778,0.00000000
-8.98900057,0.00045778,0.00000000
-8.98880057,0.00045778,0.00000000
-8.98860057,0.00045778,0.00000000
-8.98840057,0.00045778,0.00000000
-8.98820057,0.00045778,0.00000000
-8.98800057,0.00045778,0.00000000
-8.98780057,0.00045778,0.00000000
-8.98760057,0.00045778,0.00000000
-8.98740057,0.00045778,0.00000000
-8.98720057,0.00045778,0.00000000
-8.98700057,0.00045778,0.00000000
-8.98680057,0.00045778,0.00000000
-8.98660057,0.00045778,0.00000000
-8.98640057,0.00045778,0.00000000
-8.98620057,0.00045778,0.00000000
-8.98600057,0.00045778,0.00000000
-8.98580057,0.00045778,0.00000000
-8.98560057,0.00045778,0.00000000
-8.98540057,0.00045778,0.00000000
-8.98520057,0.00045778,0.00000000
-8.98500057,0.00045778,0.00000000
-8.98480057,0.00045778,0.00000000
-8.98460057,0.00045778,0.00000000
-8.98440057,0.00045778,0.00000000
-8.98420057,0.00045778,0.00000000
-8.98400057,0.00045778,0.00000000
-8.98380057,0.00045778,0.00000000
-8.98360057,0.00045778,0.00000000
-8.98340057,0.00045778,0.00000000
-8.98320057,0.00045778,0.00000000
-8.98300057,0.00045778,0.00000000
-8.98280057,0.00045778,0.00000000
-8.98260057,0.00045778,0.00000000
-8.98240057,0.00045778,0.00000000
